카테고리,상품명,창고,설명,공급가,택배사,택배비,면과세,사진,노출
축산물,순살 닭다리살 2kg,동해,동해 공급,11400,씨제이대한통운,4000,면세,,표시
수산물,대용량 생선까스 2.5kg,동해,동해 공급,11000,"11,000",4000,면세,,표시
간편식품·밀키트,원조 부산 어묵 2.5kg,동해,동해 공급,8000,씨제이대한통운,4000,과세,,표시
축산물,호주산 LA갈비 1kg,동해,동해 공급,21000,씨제이대한통운,4000,면세,,표시
축산물,간편 순살 닭꼬치 10개,동해,동해 공급,4500,씨제이대한통운,4000,면세,,표시
간편식품·밀키트,김대헌 장수 염소탕 1팩,동해,동해 공급,5500,씨제이대한통운,4000,과세,,표시
간편식품·밀키트,맛도리 쭈삼새 한팩,동해,동해 공급,8500,씨제이대한통운,4000,면세,,표시
축산물,소찜갈비 1kg,동해,동해 공급,9200,씨제이대한통운,4000,면세,,표시
축산물,특가 한돈 등뼈 3kg,동해,동해 공급,7500,씨제이대한통운,4000,면세,,표시
수산물,봄 제철 쭈꾸미 2kg,동해,동해 공급,22000,씨제이대한통운,4000,면세,,표시
수산물,국내산 통찜 오징어 1kg,동해,동해 공급,11000,씨제이대한통운,4000,면세,fish-2.webp,표시
수산물,자숙골뱅이 500g,동해,동해 공급,3500,씨제이대한통운,4000,면세,,표시
수산물,황금 깐새우장 400g,동해,동해 공급,6500,씨제이대한통운,4000,과세,,표시
수산물,골뱅이 어묵탕 1세트,동해,동해 공급,5500,씨제이대한통운,4000,과세,,표시
수산물,독도 참고등어 1kg,동해,동해 공급,5000,씨제이대한통운,4000,면세,,표시
수산물,햇 반건조한치 5미,동해,동해 공급,6500,씨제이대한통운,4000,면세,,표시
수산물,황금 암꽃게장 2kg,동해,동해 공급,7400,씨제이대한통운,4000,과세,,표시
수산물,자연산 반건조 바다송어 소 2미,동해,동해 공급,3500,씨제이대한통운,4000,면세,,표시
수산물,자연산 반건조 바다송어 중 1미,동해,동해 공급,3000,씨제이대한통운,4000,면세,,표시
수산물,자연산 반건조 바다송어 대 1미,동해,동해 공급,3500,씨제이대한통운,4000,면세,,표시
간편식품·밀키트,양미리 1kg,동해,동해 공급,9500,씨제이대한통운,4000,면세,fish-3.webp,표시
간편식품·밀키트,국내산 돈두 슬라이스 1kg,동해,동해 공급,12700,씨제이대한통운,4000,과세,,표시
수산물,한입 오징어 500g,동해,동해 공급,4500,씨제이대한통운,4000,면세,,표시
축산물,국내산 한돈 등뼈 1kg,동해,동해 공급,3000,씨제이대한통운,4000,면세,,표시
간편식품·밀키트,알도루묵 1팩,동해,동해 공급,13000,씨제이대한통운,4000,면세,,표시
수산물,국내산 참문어 슬라이스 200g,동해,동해 공급,16000,씨제이대한통운,4000,면세,,표시
간편식품·밀키트,황금 양념게장 1kg,동해,동해 공급,8000,씨제이대한통운,4000,과세,,표시
수산물,갓성비 반건조 참가자미 5미,동해,동해 공급,8000,씨제이대한통운,4000,면세,,표시
수산물,자숙문어 900g급,동해,동해 공급,17000,씨제이대한통운,4000,면세,,표시
축산물,황제 LA꽃갈비 2kg,동해,동해 공급,42500,씨제이대한통운,4000,면세,,표시
수산물,한입 오징어 1kg,동해,동해 공급,8500,씨제이대한통운,4000,면세,,표시
간편식품·밀키트,랍스터 테일 1미,동해,동해 공급,9500,씨제이대한통운,4000,면세,,표시
수산물,손질 명태포 700g,동해,동해 공급,3500,씨제이대한통운,4000,면세,,표시
간편식품·밀키트,한장금 양념게장 1kg,동해,동해 공급,9000,씨제이대한통운,4000,면세,,표시
